"ID","DEFINITION","FORMATION_PROCESS","CLAY","SILT","SAND","SOIL_COMPACTION","SOIL_COLOR","CERAMICS_OBSERVATIONS"
8247,"Cut filled by 8161","Cutting",0.0,0.0,0.0,"","",""
7189,"compact layer at level of top of drain in room 4","Intentional Deposition",10.0,80.0,10.0,"Compact","Light Brown",""
8256,"Opus signinum covering E facade of 8199 in room I-10","Construction",0.0,0.0,0.0,"","",""
8257,"Opus signinum covering SE facade of 8133 in room I-10","Construction",0.0,0.0,0.0,"","",""
8258,"Opus signinum covering W facade of wall 8011 in room I-10","Construction",0.0,0.0,0.0,"","",""
8260,"E-W wall W of 8128 in SW corner of area.","Construction",0.0,0.0,0.0,"","",""
8270,"E-W wall W of 8260 in SW corner of area.","Construction",0.0,0.0,0.0,"","",""
7188,"Silty layer between 7173 and 7174 on the eastern side","Intentional Deposition",30.0,60.0,10.0,"Compact","Brown",""
7190,"Rectangular cut into bedrock in SE corner of Room 1","Cutting",0.0,0.0,0.0,"","",""
8259,"Cut north of 8201","Cutting",0.0,0.0,0.0,"","",""
7191,"Tufo block 'lintel' beneath wall 7057","Construction",0.0,0.0,0.0,"","",""
8261,"N-S wall S of 8123 in SW quadrant of area","Construction",0.0,0.0,0.0,"","",""
8262,"N-S wall S of 8261 in SW quadrant of area","Construction",0.0,0.0,0.0,"","",""
8263,"Opus signinum covering N facade of 8120 in room I-11","Construction",0.0,0.0,0.0,"","",""
8264,"Opus signinum covering S facade of 8012 in room I-11","Construction",0.0,0.0,0.0,"","",""
1509,"","",0.0,0.0,0.0,"","",""
8228,"Tufo blocks south of threshold 8201","Construction",0.0,0.0,0.0,"","",""
8229,"Irregular surface south of blocks SU 8228","Construction",0.0,0.0,0.0,"","",""
8231,"Curb of basalt pavers south of SU 8229","Construction",0.0,0.0,0.0,"","",""
9037,"Layer of compact soil with a high concentration of large clusters such as basalt, tufo, pottery, tile, and mortar","Accumulation",10.0,80.0,10.0,"Hard","Brown",""
7192,"Mortared feature of stones in S of Room H5 by wall 7116","Construction",0.0,0.0,0.0,"","","no diagostics viable for comparanda"
7193,"Mortared feature of stones in east of Room 5, west of wall 7108","Construction",0.0,0.0,0.0,"Compact","","No diagnostics for comparanda"
7194,"Feature of basalt, tufo, and mortar north of 7193 along wall 7108.","Construction",0.0,0.0,0.0,"","","Many sherds appear to come from the same vessels. "
7195,"Layer of compact dark brown silt with tufo inclusions at S of Room 1","Accumulation",0.0,0.0,0.0,"","",""
8267,"E-W wall (N) bound to 8237 and 8232 in room I-11","Construction",0.0,0.0,0.0,"","",""
8268,"E-W wall (S) bound to 8237 and 8233 in room I-11","Construction",0.0,0.0,0.0,"","",""
8269,"Light brown deposit covered by 8068 east of wall SU 8094 ","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
8266,"Wall west of wall SU 8168","Construction",0.0,0.0,0.0,"","",""
8265,"Floor covered SU 8269","Construction",0.0,0.0,0.0,"","",""
8201,"Threshold blocks south of Room I5","Construction",0.0,0.0,0.0,"","",""
7196,"Drain structure built of tile and mortar in Room H-4","Construction",0.0,0.0,0.0,"","",""
7197,"Repurposed tufo block at N end of drain 7196","Construction",0.0,0.0,0.0,"","",""
7198,"Four large square tufo blocks along E wall of Room H5","Construction",0.0,0.0,0.0,"","",""
7199,"Line of small stones along W face of blocks 7198","Intentional Deposition",0.0,0.0,0.0,"","","few ceramics, but some medium sized fragments; some encrustation. dated with terra sigillata"
9038,"The spoliation of the tufo floor","",0.0,0.0,0.0,"","",""
9039,"Concentration of tufo, basalt and smaller rocks along the western side of Area J","Accumulation",0.0,0.0,0.0,"","",""
8271,"Plaster on southern side of wall 8168","Construction",0.0,0.0,0.0,"","",""
8272,"Threshold covered by 8266","Construction",0.0,0.0,0.0,"","",""
7200,"Patch of white mortar floor east of dolium in Room H5","Construction",0.0,0.0,0.0,"","","few ceramics, small sherds with no joins
"
7201,"Drain structure running north in Room 5","Construction",0.0,0.0,0.0,"","",""
7202,"Dolium along western wall of Room 5","Intentional Deposition",0.0,0.0,0.0,"","",""
8273,"Wall abutted by SU 8265","Construction",0.0,0.0,0.0,"","",""
8274,"Circular cut in wall 8094","Cutting",0.0,0.0,0.0,"","",""
2819,"Cleaning layer in the northern half of courtyard at beginning of 2018 season","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
2820,"Cleaning layer in southern half of courtyard at beginning of 2018 season","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
7203,"Fill of stones and tile N of room H4","Intentional Deposition",10.0,80.0,10.0,"Loose","Brown","processed in rain storm, some sherds very encrusted; no joins. processed by Giordano Iacomelli and Emily Lime"
7204,"Ashlar wall running E-W at N end of wall 7108","Construction",0.0,0.0,0.0,"","",""
6056,"Concrete wall running north-south at eastern limit of Road 3, parallel to wall 6033","Construction",0.0,0.0,0.0,"","",""
2821,"Loose brown circular deposit NW of block 2436, fill of 2822","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
2822,"Circular cut NW of block 2436, filled by 2821","Cutting",0.0,0.0,0.0,"","",""
2823,"Compact grayish-yellow deposit in the SW corner of courtyard, E of 2454","Construction",20.0,80.0,0.0,"Compact","Yellow",""
2824,"Compact, dark brown, clayish, deposit in the W. half of courtyard ","Accumulation",20.0,70.0,10.0,"Compact","Brown",""
2825,"Loose brown deposit in SW corner of the courtyard, S and E of block 2454","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
7205,"Cut into 7206 north of Room H4","Cutting",0.0,0.0,0.0,"","",""
7206,"Layer of silt and stones above road 7019","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
6057,"Layer of brown silt between walls 6033 and 6056","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
2826,"Compact brown deposit along W Limit of courtyard","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
2827,"Friable, light brown deposit in northeast corner of courtyard","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
2828,"Friable brownish grey deposit at NE limit of area","Accumulation",10.0,80.0,10.0,"Friable","Gray",""
2829,"Compact grey deposit with three large stones in W. central quadrant of courtyard","Accumulation",10.0,80.0,10.0,"Compact","Light Gray",""
7207,"Irregularly aligned concrete wall south of wall 7060 and north of wall 7038","Construction",0.0,0.0,0.0,"","",""
2830,"Loose brown circular deposit, fill of 2831 N of 2248","Accumulation",10.0,80.0,10.0,"Loose","Brown","Olla"
2831,"Circular cut, filled by 2830. N of 2248","Cutting",0.0,0.0,0.0,"","",""
2832,"Loose brown oval deposit in NE quadrant of area, fills 2833","Accumulation",10.0,80.0,10.0,"Soft","Light Brown",""
2833,"Oval cut in NE quadrant of area, filled by 2832 and 2835","Cutting",0.0,0.0,0.0,"","",""
2834,"Compact brown rectangular deposit at NW limit of courtyard, N. of 2725","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
2835,"Deposit of stones and ceramic within cut 2833","Intentional Deposition",0.0,0.0,0.0,"","",""
2836,"Linear deposit of light gray soil with frequent stone inclusions SW of wall 2239","Accumulation",10.0,80.0,10.0,"Hard","Light Gray",""
2837,"Compact yellow-gray deposit with frequent crushed tufo inclusions located in SW corner of courtyard","Accumulation",20.0,80.0,0.0,"Compact","Light Yellow",""
8275,"Light brown deposit of silt in room I-10, W. of SU 8011, N. of SU 8012, E. of SU of 8199.","Accumulation",10.0,80.0,10.0,"Soft","Light Brown",""
8276,"Light brown silty deposit south of SU 8204.","Accumulation",20.0,70.0,10.0,"Loose","Light Brown",""
2838,"Compact light grayish brown deposit at W. limit of courtyard","Accumulation",10.0,80.0,10.0,"Friable","Gray",""
8277,"Brown silty fill of linear cut SU 8278.","Accumulation",10.0,80.0,10.0,"Friable","Brown","Ceramic sherds in variable condition, some with smaller fragments and pitting/worn surfaces on some wares such as ARS and black gloss. "
8278,"Linear cut across the central portion of Area I.","Cutting",0.0,0.0,0.0,"","",""
2839,"Friable brownish gray deposit with frequent stone inclusions in southeast corner of courtyard","Accumulation",10.0,80.0,10.0,"Friable","Light Gray",""
2840,"Light gray deposit with rocky inclusions in NW corner of courtyard.","Accumulation",10.0,80.0,10.0,"Compact","Light Gray",""
2841,"Loose grayish-brown deposit with rocky inclusions at. W limit of courtyard, S. of 2725","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
2842,"Compact grayish-yellow deposit with stone and ceramic inclusions in SE corner of courtyard","Accumulation",30.0,60.0,10.0,"Compact","Brown",""
7208,"Compact layer of brown silt with tile and tufo inclusions south of wall 6056","Accumulation",10.0,80.0,10.0,"Compact","Brown"," Processed by Leah Bernardo-Ciddio and Giordano Iacomelli on 27 June 2018."
8279,"Rubble layer covering most of room I-10.","Intentional Deposition",10.0,80.0,10.0,"Compact","Light Brown","Few diagnostics and little ceramic material in this SU. "
2843,"Brown silty deposit with many rock inclusions located in the northwest corner of the courtyard","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
2844,"Light brown compact deposit with orange & gray inclusions at the E. edge of courtyard,","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
2845,"Friable brown deposit in SE area of courtyard.","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
2846,"Compact, grey deposit in northwest corner of courtyard. ","Accumulation",10.0,80.0,10.0,"Compact","Gray",""
8282,"Roughly rectangular tufo block on top of threshold SU 8283.","Construction",0.0,0.0,0.0,"Compact","Red",""
8284,"Floor north of room I-19 and extending throughout room 12","Construction",0.0,0.0,0.0,"","Light Gray",""
8281,"Roughly rectangular tufo block west of wall US 8077.","Construction",0.0,0.0,0.0,"","",""
8280,"Collapse of tufo, basalt, and rocks on eastern side of Room I-12.","Collapse",10.0,80.0,10.0,"Loose","Light Gray","One sherd African cookware, possibly intrusive although in good condition. The remainder of the SU is almost entirely commonware, with many joins in between rim fragments, and probably more with walls and bases. Some sherds very burnt."
2847,"Compact grey deposit at E. limit of courtyard","Accumulation",10.0,80.0,10.0,"Friable","Gray",""
8286,"Cut into floor 8284.","Cutting",0.0,0.0,0.0,"","",""
8285,"Collapse of tiles and rocks in room I-19","Collapse",10.0,70.0,20.0,"Soft","Brown","few ceramics, quite encrusted, processed by Alison Rittershaus and Emily Lime in the early morning"
2848,"Compact light brown deposit in SE quadrant of courtyard","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
6058,"Layer of brown silt east of wall 6033","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
8287,"Rubble deposit in Room I-22.","Collapse",10.0,80.0,10.0,"Friable","Brown",""
7209,"Compact surface S of 7208 on Via Gabina","Intentional Deposition",10.0,80.0,10.0,"Compact","Brown","Processed by Leah Bernardo-Ciddio and Kyra Webb on 28 June 2018."
2849,"Friable light brown linear deposit in SE quadrant of courtyard

","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
7210,"Cut into 7209 S of wall 6056. ","Cutting",0.0,0.0,0.0,"","",""
2850,"Linear yellow-brown slightly compact deposit in center of courtyard NE of cut 2493","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
6059,"Compact surface west of wall 6056, along northern part of roadway","Intentional Deposition",10.0,80.0,10.0,"Compact","Gray",""
6060,"Long rectilinear cut into surface 6059","Cutting",0.0,0.0,0.0,"","",""
2851,"Rocky exposed layer of possible curved linear feature, in southeast quadrant of courtyard.
","Construction",10.0,80.0,10.0,"Friable","Light Brown",""
8288,"Cut in room I-19","Cutting",0.0,0.0,0.0,"","",""
8290,"Wall running east west between walls 8217 and 8097","Construction",0.0,0.0,0.0,"","",""
2852,"Compact light brown deposit N. of 2436 in SE part of courtyard","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
2853,"Linear deposit of crushed pink tufo with frequent inclusions of rocks at eastern limit of courtyard","Collapse",8.0,80.0,12.0,"Hard","Gray",""
8289,"deposit filling cut 8288 into floor 8284 in Room I-19
","Accumulation",10.0,70.0,20.0,"Friable","Brown",""
7211,"Layer of brown silt N of room H4.","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
8291,"Small cut in fill 8289 to the west of wall 8075 ","Cutting",0.0,0.0,0.0,"","",""
8294,"Fill of cut 8293
","Accumulation",10.0,60.0,30.0,"Loose","Brown",""
8293,"Small cut in fill 8289","Cutting",0.0,0.0,0.0,"","",""
2854,"Oval loose brown deposit in SE comer of courtyard, N of 2436, fills 2855","Accumulation",10.0,80.0,10.0,"Soft","Brown",""
2855,"Oval cut in SE corner of Courtyard, N of 2436, filled by 2854 and 2856","Cutting",0.0,0.0,0.0,"","",""
2856,"Compact brown deposit in SE corner of courtyard, N of 2436, fills 2855","Intentional Deposition",10.0,80.0,10.0,"Compact","Brown",""
8295,"Layer of rubble and tiles in the cut on the northern side of floor 8284.","Accumulation",10.0,80.0,10.0,"Loose","Light Brown","large sherds, but exceptionally encrusted"
8306,"Cut in fill 8289 abutting 8122","Cutting",0.0,0.0,0.0,"","",""
2857,"Grayish brown compact deposit south of 2493","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
8296,"Cut on eastern most side of floor 8284","Cutting",0.0,0.0,0.0,"","",""
8307,"Fill of cut 8306","Accumulation",10.0,70.0,20.0,"Soft","Light Brown",""
8297,"Fill of cut 8296","Accumulation",0.0,0.0,0.0,"","","Processed by Leah Bernardo-Ciddio on July 12th, 2018 in the late morning. Insufficient diagnostic material for dating purposes. "
8298,"Small cut in Floor 8284 north of wall 8121","Cutting",0.0,0.0,0.0,"","",""
8299,"Fill of cut 8298","Accumulation",10.0,80.0,10.0,"Friable","Light Brown","Processed by Leah Bernardo-Ciddio on July 12th, 2018 in the late morning. Insufficient diagnostic material for dating."
8309,"Layer of rubble in room I-21.","Accumulation",20.0,70.0,10.0,"Loose","Light Brown",""
2858,"Brown friable deposit in SE quadrant of area, N of 2436","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
8300,"Cut in floor 8284, north of wall 8121","Cutting",0.0,0.0,0.0,"","",""
8301,"Fill of cut 8300.","Accumulation",10.0,80.0,10.0,"Loose","Gray","Processed by Leah Bernardo-Ciddio on July 12th, 2018 in the early afternoon. Insufficient diagnostic material for dating."
8302,"Cut into floor 8284, west of 8300.","Cutting",0.0,0.0,0.0,"","",""
8303,"Fill of cut 8302.","Accumulation",10.0,90.0,10.0,"Loose","Light Brown","Processed by Leah Bernardo-Ciddio on July 12th, 2018 in the late morning. Insufficient diagnostic material for more precise dating."
8304,"Cut in Floor 8284 on southwest side of Room I-12.","Cutting",0.0,0.0,0.0,"","",""
8305,"Fill of cut 8304.","Accumulation",10.0,80.0,10.0,"Loose","Light Brown","Processed by Leah Bernardo-Ciddio on July 12th, 2018 in the late morning. Insufficient diagnostic material for dating."
8308,"layer of rubble and tiles in room 11","Collapse",10.0,80.0,10.0,"Compact","Light Brown",""
8310,"Cut in 8312","Cutting",0.0,0.0,0.0,"","",""
8311,"Fill of cut 8310","Accumulation",10.0,70.0,20.0,"Soft","Brown",""
7212,"Cut into 7211 north of Room H4 and wall 7204","Cutting",0.0,0.0,0.0,"","",""
7213,"Fill of cut 7212.","Accumulation",10.0,80.0,10.0,"Loose","Brown","Some amphora sherds are a strange green color, likely due to overfiring"
8313,"robbed floor in room 11","Construction",0.0,0.0,0.0,"","",""
8312,"Rubble layer in room I-19","Construction",10.0,70.0,20.0,"Friable","Brown",""
8314,"Light brown deposit of silt in room I-18, N. of wall 8012, E. of 8180, 8179, 8119, 8178, S. of 8133, W. of 8199 and 8200","Accumulation",10.0,80.0,10.0,"Soft","Light Brown",""
2859,"Light brown friable deposit in the southwest center of the courtyard.","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
2860,"Compact brown accumulation layer with tufo inclusions at southern limit of courtyard","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
8316,"Robbery cut into floor 8313 filled by 8308","Cutting",0.0,0.0,0.0,"","",""
6061,"Layer of brown silt east of wall 6033","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
2861,"Compact brownish grey deposit in W. half of courtyard","Accumulation",10.0,80.0,10.0,"Compact","Gray",""
2862,"Circular loose brown deposit in SE area of courtyard NW of 2436, fills  2863","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
2863,"Circular cut in SE area of courtyard, NW of 2436, filled by 2862, 2864, and 2868.","Cutting",0.0,0.0,0.0,"","",""
8317,"Floor in room I-11 under SU 8308","Construction",0.0,0.0,0.0,"","",""
8318,"Large rubble collapse in Rooms I-17 and I-20.","Collapse",10.0,80.0,10.0,"Friable","Light Gray",""
8292,"Small cut in fill 8312 in room I-19","Cutting",0.0,0.0,0.0,"","",""
6062,"Cut into compact surface east of wall 6033 ","Cutting",0.0,0.0,0.0,"","",""
8315,"Fill of cut 8292 in room I-19","Accumulation",10.0,70.0,20.0,"Soft","Brown",""
2864,"Large white travertine stone in circular cut 2863 in SE comer of courtyard, covers 2868","Intentional Deposition",0.0,0.0,0.0,"","White",""
2865,"Loose brown circular deposit in SE area of courtyard, fills 2866","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
2866,"Circular cut in SE area of courtyard, filled by 2865","Cutting",0.0,0.0,0.0,"","",""
2867,"Loose light brown deposit with frequent stone inclusions at E limit of courtyard","Accumulation",10.0,80.0,10.0,"Loose","Light Brown",""
42000,"","",0.0,0.0,0.0,"","",""
2868,"Loose brown circular deposit in SE area of courtyard, covered by 2864","Accumulation",10.0,80.0,10.0,"Soft","Brown",""
2869,"Silty light brown friable deposit in NE corner of courtyard","Accumulation",0.0,90.0,10.0,"Friable","Light Brown",""
8319,"cut into floor 8254 in room I -13 (first cut from S to N in the line of cuts 8319-8324)","Cutting",0.0,0.0,0.0,"","",""
8322,"cut into floor 8254 in room 13","Cutting",0.0,0.0,0.0,"","",""
8320,"cut into floor 8254 in room 13","Cutting",0.0,0.0,0.0,"","",""
8321,"cut into floor 8254 in room 13","Cutting",0.0,0.0,0.0,"","",""
8323,"cut into floor 8254 in room 13","Cutting",0.0,0.0,0.0,"","",""
8324,"cut into floor 8254 in room 13","Cutting",0.0,0.0,0.0,"","",""
7214,"layer of loose, dark soil N of Room 4 and wall 7204.","Accumulation",10.0,80.0,10.0,"Loose","Brown","Processed by Emily Lime on July 6th, 2018. Spot date (by Leah Bernardo-Ciddio) based on full profile of ARS flat-based dish."
8325,"fill of cut 8319","Accumulation",10.0,80.0,10.0,"Friable","Gray","No diagnostics, only one fragment of non-CBM ceramics. "
7215,"Compact surface with mortar inclusions above via Gabina 7019","Intentional Deposition",10.0,80.0,10.0,"","Light Brown",""
2870,"Compact grayish brown deposit in center of courtyard","Accumulation",10.0,80.0,10.0,"Compact","Gray",""
6063,"Layer of brown silt north of Via Gabina and west of wall 6056","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
8326,"fill of cut 8320","Accumulation",10.0,80.0,10.0,"Loose","Gray",""
8327,"fill of cut 8321","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
8328,"fill of cut 8322","Accumulation",10.0,90.0,10.0,"Loose","Light Gray",""
2871,"Compact light brown deposit with frequent orange inclusions in southeast corner of courtyard.","Accumulation",10.0,80.0,10.0,"Compact","Red",""
2872,"Compact grayish brown layer of accumulation with frequent tufo and wattle and daub inclusions in south central courtyard.","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
8329,"fill of cut 8323","Accumulation",10.0,80.0,10.0,"Loose","Gray",""
8330,"fill of cut 8324","Accumulation",10.0,80.0,10.0,"Loose","Gray",""
2873,"Compact light gray deposit with frequent small tufo inclusions in W. central area of courtyard.","Accumulation",10.0,80.0,10.0,"Compact","Light Gray",""
2874,"Friable gray deposit with stone inclusions at eastern limit of courtyard. ","Accumulation",10.0,80.0,10.0,"Friable","Gray",""
8331,"Floor preparation layer covered by 8097 and 8041 in room I-19","Construction",0.0,0.0,0.0,"","",""
8332,"Silty brown deposit in room I-19","Accumulation",10.0,70.0,20.0,"Soft","Brown","Processed by Leah Bernardo-Ciddio on 5 July 2018. "
8333,"rocks bound together in Room I -19  and abutting wall 8074","Construction",0.0,0.0,0.0,"","","Large fragment highly encrusted."
6064,"Cut filled by 6063","Cutting",0.0,0.0,0.0,"","",""
8334,"Silty brown deposit east of arch 8237 and west of floor 8317.","Accumulation",10.0,80.0,10.0,"Friable","Brown","Many ceramics show evidence of burning, including soot that came off during washing, bubbled surfaces, and altered coloration of fabrics. High amounts of creamware and painted creamware, as well as African sigillatas with fugitive slip. Many fragments also covered with mortar, encrustations that are green and white, and black spotting (possibly soot or possibly mold), as well as occasional iron encrustations. Fragmentation varies between large and quite small fragments, often within a single class. Thin walled ware includes glass paste insets in two fragments. "
2875,"Compact brown deposit with frequent tufo, wattle and daub, and ceramic inclusions at S limit of courtyard","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
2876,"Friable light brown deposit in central area of courtyard, N. of cut 2493","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
8335,"Floor in room 11, robbed. Same as 8313.","Construction",0.0,0.0,0.0,"","",""
2877,"Compact gray deposit in W central area of courtyard","Accumulation",10.0,80.0,10.0,"Compact","Light Gray",""
2878,"Friable gray deposit  at W central limit of courtyard","Accumulation",10.0,80.0,10.0,"Friable","Light Gray",""
7216,"Sterile, compact surface above Via Gabina (7019)","Intentional Deposition",20.0,80.0,0.0,"Compact","Brown","small sherds, with little datable material, though an african lamp provides one reliable spot date."
7217,"Fill of tile drain (7196) in Room H4.","Accumulation",10.0,80.0,10.0,"Compact","Light Brown","Processed by Leah Bernardo-Ciddio on July 9th, 2018. "
2879,"Friable light brownish gray deposit with ceramic and stone inclusions at NW limit of courtyard","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
8336,"light brown silty deposit filling trench cut 8337","Accumulation",10.0,70.0,20.0,"Soft","Brown",""
8337,"trench cut for walls 8122 and 8920 (DEAD SU, See observations)","Cutting",0.0,0.0,0.0,"","",""
8338,"foundation for wall 8122","Construction",0.0,0.0,0.0,"","",""
8339,"compact layer of silt under SU 8332","Accumulation",10.0,80.0,10.0,"Loose","Brown","Processed by Leah Bernardo-Ciddio and Kyra Webb on July 17th, 2018."
8340,"N-S wall (W) of Room I-20, south of wall 8203.","Construction",0.0,0.0,0.0,"","",""
8341,"E-W wall (N) of Room I-22, west of wall 8203.","Construction",0.0,0.0,0.0,"","",""
8342,"N-S wall (W) of room I-22, south of wall 8341.","Construction",0.0,0.0,0.0,"","",""
8343,"E-W Wall west of wall 8342.","Construction",0.0,0.0,0.0,"","",""
8345,"N S wall in room 11 between walls 8240 and 8238","Construction",0.0,0.0,0.0,"","",""
8346,"N-S wall plug south of wall 8342.","Construction",0.0,0.0,0.0,"","",""
8347,"N-S wall south of wall 8346.","Construction",0.0,0.0,0.0,"","",""
8344,"Deposit beneath arch, SU 8237","Accumulation",10.0,80.0,10.0,"Loose","Brown","Later datable wares (such as African cookware and red slip) are smaller and more fragmentary, with a larger collection of relatively well-preserved commonware. There are multiple older wares that are represented in this SU by small, single non-diagnostic sherds, which together add up to a fair amount of residual material. "
2880,"Friable light brown deposit in the SE corner of the courtyard, S of 2436","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
7218,"Compact surface of brown silt above Via Gabina 7019","Intentional Deposition",10.0,80.0,10.0,"Compact","Brown","Processed on July 9th 2018 by Leah Bernardo-Ciddio and Christina Cha. One further cassetta processed by LBC and CC on July 10th in morning light."
6065,"Compact grey surface with brown matrix west of wall 6056, east of cut 6060 and south of surface 6059","Construction",10.0,80.0,10.0,"Compact","Gray","Processed by Leah Bernardo-Ciddio on July 6th, 2018."
7219,"Compact shoulder west of drain 7196","Intentional Deposition",10.0,80.0,10.0,"Compact","Light Brown",""
2881,"Compact brown ovoid deposit in S. central part of courtyard, fill of 2882","Accumulation",20.0,80.0,0.0,"Compact","Brown",""
6066,"Compact brown surface beneath SUs 6059 and 6065 east of 6060, north of via Gabina, west of 6056, and south of cut 9003","Intentional Deposition",10.0,80.0,10.0,"Compact","Brown","Processed by Leah Bernardo-Ciddio on July 17th, 2018."
2882,"Ovoid cut in S. central part of courtyard, filled by 2881","Cutting",0.0,0.0,0.0,"","",""
2883,"Loose brownish-gray circular deposit in NW corner of courtyard, fill of 2884","Accumulation",10.0,80.0,10.0,"Loose","Gray",""
2884,"Circular cut in NW corner of courtyard, filled by 2883","Cutting",0.0,0.0,0.0,"","",""
8348,"Dark, friable silty deposit under SU 8344.","",0.0,0.0,0.0,"","Brown",""
2885,"Compact orangish-yellow linear deposit running W-E in North-Central area of courtyard","Accumulation",10.0,80.0,10.0,"Compact","Yellow",""
7220,"Compact layer of brown silt and rocky inclusions above Via Gabina.","Intentional Deposition",0.0,0.0,0.0,"","","The pottery in this SU contains many sherds of even fragment size, possibly indicating that they were purposefully uniformly broken. "
8350,"Rubble deposit in the north-west corner of room I-18 east of 8180 and 8179, south of 8133","Collapse",15.0,70.0,15.0,"Hard","Light Brown",""
8351,"foundation for wall 8120 supporting arch 8237","Construction",0.0,0.0,0.0,"","",""
8349,"Dark compact silty deposit under 8344.","Accumulation",0.0,0.0,0.0,"","",""
2886,"Compact dark grayish brown deposit in SW corner of courtyard","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
6067,"Layer of brown silt with linear stone inclusions east of SU 6066","Accumulation",10.0,80.0,10.0,"Compact","Light Brown","small sherds, no diagnostics"
2887,"Light brown deposit in SE corner of courtyard, W of 2436","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
2888,"Friable gray silty deposit in center of courtyard","Accumulation",10.0,80.0,10.0,"Friable","Gray",""
7221,"Layer of loose dark brown silt south of Via Gabina between walls 7015 and 7140.","Accumulation",0.0,90.0,10.0,"Loose","Brown","Large range of materials with few diagnostics in later wares and proportionally small number of diagnostics overall. Fragmentation varied. Most sherds in good condition.    "
2889,"Grey compact deposit in the SW corner of courtyard, S of 2454","Accumulation",10.0,80.0,10.0,"Compact","Gray",""
2890,"Grayish brown compact deposit in SW courtyard, N of 2454","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
2891,"Friable blackish-brown granular deposit in center of courtyard","Accumulation",0.0,80.0,20.0,"Friable","Brown",""
7222,"Patch of compact soil, mortar, and travertine limestone S of wall 6056","Intentional Deposition",10.0,80.0,10.0,"Compact","Brown",""
7223,"Compact layer of brown silt and basalt stones N of room H4. ","Intentional Deposition",10.0,80.0,10.0,"Compact","Brown",""
2892,"Compact brown deposit with orange inclusions along western edge of courtyard","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
8359,"Tiled floor on the western side of room I-11.","Construction",0.0,0.0,0.0,"","Red",""
7224,"Deposit of brown silt and stone south of 7019","Accumulation",10.0,80.0,10.0,"Loose","Brown","Ceramics present in SU come from a narrow range of wares, mostly African cookware and red slip. The fragmentation varies greatly, with very large sherds of a basin in tile fabric but mostly smaller sherds of amphora (apart from a handle) and few diagnostics in wares other than the African types. Ceramic sherds in good condition. "
8360,"Circular opening into foundation SU 8351.","Cutting",0.0,0.0,0.0,"","",""
8361,"Roughly circular opening into surface 8353.","Cutting",0.0,0.0,0.0,"","",""
2893,"Friable brown gray deposit with orange and ashy inclusions, along central western limit of courtyard.","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
2894,"Brown friable deposit located in the eastern end of courtyard.","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
2895,"Light brown loose circular deposit along E. limit of courtyard","Accumulation",10.0,80.0,10.0,"Soft","Brown",""
7225,"Compact layer of soil and mortar in NE corner of Room H5. ","",10.0,80.0,10.0,"Compact","Brown","Processed by Leah Bernardo-Ciddio and Christina Cha on July 13th, 2018 in the late morning."
7226,"Compact layer of soil in the NW corner of Room H5. ","Intentional Deposition",10.0,80.0,10.0,"","Light Brown","Sorted by Emily Lime and Giordano Iacomelli on July 23rd, 2018 in the late afternoon; processed by Leah Bernardo-Ciddio on July 24th, 2018 in the early morning."
